epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.9361,0.63666,2.6669,1.19406,0.85768,1,0.995,0.98802,0.2382,0.8117,0.815,6.25e-05,6.25e-05,6.25e-05
2,54.5761,0.48519,0.67195,1.03862,0.94871,1,0.995,0.9278,0.33511,0.94511,0.85087,0.000136139,0.000136139,0.000136139
3,68.9768,0.53571,0.57831,1.02337,0.9612,1,0.995,0.96364,0.32713,1.07709,0.84558,0.000208293,0.000208293,0.000208293
4,82.7642,0.5357,0.58229,1.03716,0.93247,1,0.995,0.93921,0.35712,1.06256,0.89421,0.000278961,0.000278961,0.000278961
5,95.9134,0.49464,0.50589,1.01582,0.82505,1,0.97833,0.86422,0.48684,1.01045,1.11428,0.000348145,0.000348145,0.000348145
6,110.036,0.52687,0.57124,1.02971,0.63889,0.81046,0.87729,0.80981,0.54601,2.53427,1.20093,0.000415844,0.000415844,0.000415844
7,125.901,0.54125,0.52082,1.01849,0.80617,0.73204,0.64993,0.57065,1.07258,2.2282,1.50451,0.000482057,0.000482057,0.000482057
8,143.052,0.59988,0.56339,1.0585,0.15823,0.24243,0.13258,0.05424,2.48161,3.56992,5.49721,0.000546786,0.000546786,0.000546786
9,158.408,0.67882,0.61977,1.09289,0.15823,0.24243,0.13258,0.05424,4.97105,74.7785,10.3709,0.00061003,0.00061003,0.00061003
10,173.366,0.61326,0.60293,1.05021,0.50483,0.5,0.37021,0.25207,1.43682,18.9685,2.80291,0.000671789,0.000671789,0.000671789
11,187.487,0.61248,0.57689,1.05051,0.14723,0.2,0.19554,0.12678,1.33497,14.9278,3.02959,0.000732063,0.000732063,0.000732063
12,202.703,0.58037,0.55924,1.04376,0.16639,0.5,0.32229,0.27252,1.03044,7.36014,3.32454,0.000790851,0.000790851,0.000790851
13,219.195,0.61378,0.54201,1.05258,0.25151,0.05,0.00077,0.00023,6.726,61223.9,503.216,0.000848155,0.000848155,0.000848155
14,235.307,0.65092,0.62189,1.07303,0.25151,0.05,0.00077,0.00023,4.67205,1696.45,46.937,0.000903974,0.000903974,0.000903974
15,252.749,0.62642,0.59579,1.09929,0.25504,0.1,0.0037,0.00154,2.89671,250.295,9.15467,0.000958307,0.000958307,0.000958307
16,269.323,0.64713,0.57569,1.09466,0.26818,0.15,0.0182,0.01603,2.13334,33.8051,5.25323,0.00101116,0.00101116,0.00101116
17,283.876,0.66442,0.58616,1.08449,0.40744,0.2,0.17438,0.12099,1.75426,6.64935,3.77035,0.001052,0.001052,0.001052
18,300.82,0.6133,0.53416,1.0505,0.0008,0.05,0.00049,5e-05,2.85817,73.2893,7.10635,0.00103962,0.00103962,0.00103962
19,321.538,0.6588,0.53856,1.09329,0.00059,0.05,0.00038,8e-05,4.12947,9.12295,10.0689,0.00102725,0.00102725,0.00102725
20,340.201,0.66022,0.51892,1.06667,0.00059,0.05,0.00038,8e-05,5.10907,17.2168,47.8984,0.00101488,0.00101488,0.00101488
21,360.955,0.60358,0.48905,1.04975,0.00059,0.05,0.00038,8e-05,0.00035,107.28,0.00446,0.0010025,0.0010025,0.0010025
22,379.722,0.6191,0.52781,1.06319,0.00059,0.05,0.00038,8e-05,5.56681,99.7329,41.1537,0.000990125,0.000990125,0.000990125
23,398.16,0.58625,0.49095,1.04933,0.00059,0.05,0.00038,8e-05,5.46639,24.3359,25.5398,0.00097775,0.00097775,0.00097775
24,416.836,0.55947,0.46678,1.03152,0.00059,0.05,0.00038,8e-05,2.84813,15.1372,7.46874,0.000965375,0.000965375,0.000965375
25,440.706,0.56431,0.45154,1.02632,0.00059,0.05,0.00038,8e-05,2.88746,13.3219,6.24972,0.000953,0.000953,0.000953
26,462.069,0.56568,0.44364,1.0122,0.97325,0.05,0.06328,0.03868,3.54016,5.08594,4.21746,0.000940625,0.000940625,0.000940625
27,481.832,0.57175,0.44052,1.03046,0.67786,0.2,0.25426,0.21922,2.00829,3.16775,2.45919,0.00092825,0.00092825,0.00092825
28,500.744,0.54403,0.42243,1.00311,0.61297,0.20549,0.23617,0.20728,2.17954,4.00543,2.622,0.000915875,0.000915875,0.000915875
29,519.403,0.52624,0.42017,1.00669,0.74242,0.05,0.05086,0.04577,2.7291,5.92771,3.41814,0.0009035,0.0009035,0.0009035
30,542.29,0.54393,0.44387,1.03131,0.74745,0.25,0.24875,0.24284,1.63784,4.81638,2.0708,0.000891125,0.000891125,0.000891125
31,559.753,0.54061,0.42598,1.01565,0.71052,0.35,0.45875,0.42786,1.12244,3.26021,1.62254,0.00087875,0.00087875,0.00087875
32,578.216,0.49857,0.39164,0.99501,0.8579,0.70989,0.91955,0.79477,0.61256,1.03665,1.14612,0.000866375,0.000866375,0.000866375
